Mon, 23 Jul 2012 09:09:59 +0200 [NHATNK-LAPTOP 4968][Tera-WURFL] WARNING: Loading patch: custom_web_patch.xml
Mon, 23 Jul 2012 09:09:59 +0200 [NHATNK-LAPTOP 4968][Tera-WURFL] WARNING: Loading patch: web_browsers_patch.xml
Mon, 23 Jul 2012 09:10:13 +0200 [NHATNK-LAPTOP 4968][Tera-WURFL] WARNING: Finished loading WURFL www.wurflpro.com - 2011-04-24 12:07:53 (Sun Apr 24 12:09:17 -0500 2011) in 19.1 seconds
Mon, 20 May 2013 11:48:26 +0000 [PC2012100617QVU 4044][TeraWurflDatabase_MySQL5::getDeviceFallBackTree] ERROR: Tera-WURFL Error: database fallback procedure returned no records, verify that TeraWurfl_FallBackDevices exists.
Mon, 20 May 2013 11:48:27 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (model_name), returning NULL
Mon, 20 May 2013 11:48:27 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (j2me_midp_1_0), returning NULL
Mon, 20 May 2013 11:48:27 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (device_os), returning NULL
Mon, 20 May 2013 11:48:31 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (model_name), returning NULL
Mon, 20 May 2013 11:48:31 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (j2me_midp_1_0), returning NULL
Mon, 20 May 2013 11:48:31 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (device_os), returning NULL
Mon, 20 May 2013 11:48:34 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (model_name), returning NULL
Mon, 20 May 2013 11:48:34 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (j2me_midp_1_0), returning NULL
Mon, 20 May 2013 11:48:34 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (device_os), returning NULL
Mon, 20 May 2013 11:48:34 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (model_name), returning NULL
Mon, 20 May 2013 11:48:34 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (j2me_midp_1_0), returning NULL
Mon, 20 May 2013 11:48:34 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (device_os), returning NULL
Mon, 20 May 2013 11:48:35 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (model_name), returning NULL
Mon, 20 May 2013 11:48:35 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (j2me_midp_1_0), returning NULL
Mon, 20 May 2013 11:48:35 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (device_os), returning NULL
Mon, 20 May 2013 11:48:53 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (model_name), returning NULL
Mon, 20 May 2013 11:48:53 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (j2me_midp_1_0), returning NULL
Mon, 20 May 2013 11:48:53 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (device_os), returning NULL
Mon, 20 May 2013 11:48:54 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (model_name), returning NULL
Mon, 20 May 2013 11:48:54 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (j2me_midp_1_0), returning NULL
Mon, 20 May 2013 11:48:54 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (device_os), returning NULL
Mon, 20 May 2013 11:48:55 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (model_name), returning NULL
Mon, 20 May 2013 11:48:55 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (j2me_midp_1_0), returning NULL
Mon, 20 May 2013 11:48:55 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (device_os), returning NULL
Mon, 20 May 2013 11:48:55 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (model_name), returning NULL
Mon, 20 May 2013 11:48:55 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (j2me_midp_1_0), returning NULL
Mon, 20 May 2013 11:48:55 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (device_os), returning NULL
Mon, 20 May 2013 11:48:56 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (model_name), returning NULL
Mon, 20 May 2013 11:48:56 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (j2me_midp_1_0), returning NULL
Mon, 20 May 2013 11:48:56 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (device_os), returning NULL
Mon, 20 May 2013 11:48:56 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (model_name), returning NULL
Mon, 20 May 2013 11:48:56 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (j2me_midp_1_0), returning NULL
Mon, 20 May 2013 11:48:56 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (device_os), returning NULL
Mon, 20 May 2013 11:48:56 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (model_name), returning NULL
Mon, 20 May 2013 11:48:56 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (j2me_midp_1_0), returning NULL
Mon, 20 May 2013 11:48:56 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (device_os), returning NULL
Mon, 20 May 2013 11:48:57 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (model_name), returning NULL
Mon, 20 May 2013 11:48:57 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (j2me_midp_1_0), returning NULL
Mon, 20 May 2013 11:48:57 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (device_os), returning NULL
Mon, 20 May 2013 11:48:57 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (model_name), returning NULL
Mon, 20 May 2013 11:48:57 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (j2me_midp_1_0), returning NULL
Mon, 20 May 2013 11:48:57 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (device_os), returning NULL
Mon, 20 May 2013 11:48:57 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (model_name), returning NULL
Mon, 20 May 2013 11:48:57 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (j2me_midp_1_0), returning NULL
Mon, 20 May 2013 11:48:57 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (device_os), returning NULL
Mon, 20 May 2013 11:48:57 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (model_name), returning NULL
Mon, 20 May 2013 11:48:57 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (j2me_midp_1_0), returning NULL
Mon, 20 May 2013 11:48:57 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (device_os), returning NULL
Mon, 20 May 2013 11:48:58 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (model_name), returning NULL
Mon, 20 May 2013 11:48:58 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (j2me_midp_1_0), returning NULL
Mon, 20 May 2013 11:48:58 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (device_os), returning NULL
Mon, 20 May 2013 11:48:58 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (model_name), returning NULL
Mon, 20 May 2013 11:48:58 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (j2me_midp_1_0), returning NULL
Mon, 20 May 2013 11:48:58 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (device_os), returning NULL
Mon, 20 May 2013 11:48:58 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (model_name), returning NULL
Mon, 20 May 2013 11:48:58 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (j2me_midp_1_0), returning NULL
Mon, 20 May 2013 11:48:58 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (device_os), returning NULL
Mon, 20 May 2013 11:48:59 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (model_name), returning NULL
Mon, 20 May 2013 11:48:59 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (j2me_midp_1_0), returning NULL
Mon, 20 May 2013 11:48:59 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (device_os), returning NULL
Mon, 20 May 2013 11:48:59 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (model_name), returning NULL
Mon, 20 May 2013 11:48:59 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (j2me_midp_1_0), returning NULL
Mon, 20 May 2013 11:48:59 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (device_os), returning NULL
Mon, 20 May 2013 11:48:59 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (model_name), returning NULL
Mon, 20 May 2013 11:48:59 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (j2me_midp_1_0), returning NULL
Mon, 20 May 2013 11:48:59 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (device_os), returning NULL
Mon, 20 May 2013 11:49:00 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (model_name), returning NULL
Mon, 20 May 2013 11:49:00 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (j2me_midp_1_0), returning NULL
Mon, 20 May 2013 11:49:00 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (device_os), returning NULL
Mon, 20 May 2013 11:49:00 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (model_name), returning NULL
Mon, 20 May 2013 11:49:00 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (j2me_midp_1_0), returning NULL
Mon, 20 May 2013 11:49:00 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (device_os), returning NULL
Mon, 20 May 2013 11:49:01 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (model_name), returning NULL
Mon, 20 May 2013 11:49:01 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (j2me_midp_1_0), returning NULL
Mon, 20 May 2013 11:49:01 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (device_os), returning NULL
Mon, 20 May 2013 11:49:01 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (model_name), returning NULL
Mon, 20 May 2013 11:49:01 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (j2me_midp_1_0), returning NULL
Mon, 20 May 2013 11:49:01 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (device_os), returning NULL
Mon, 20 May 2013 11:49:02 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (model_name), returning NULL
Mon, 20 May 2013 11:49:02 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (j2me_midp_1_0), returning NULL
Mon, 20 May 2013 11:49:02 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (device_os), returning NULL
Mon, 20 May 2013 11:49:02 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (model_name), returning NULL
Mon, 20 May 2013 11:49:02 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (j2me_midp_1_0), returning NULL
Mon, 20 May 2013 11:49:02 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (device_os), returning NULL
Mon, 20 May 2013 11:49:02 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (model_name), returning NULL
Mon, 20 May 2013 11:49:02 +0000 [PC2012100617QVU 4044][Tera-WURFL] WARNING: I could not find the requested capability (j2me_midp_1_0), returning NULL
